timestamp_utc,x_pos_mm,y_pos_mm,x_vel_mm_per_s,y_vel_mm_per_s,s_vel_deg_per_s
0 days 00:00:00.504000,-1.2996889999999999,-3.50003,0.0,0.0,38195.999969
0 days 00:00:00.506000,-1.299379,-3.5000999999999998,0.0,0.0,38195.999969
0 days 00:00:00.508000,-1.299359,-3.50013,0.0,0.0,38195.999969
0 days 00:00:00.510000,-1.299459,-3.50013,0.0,0.0,38195.999969
0 days 00:00:00.512000,-1.299699,-3.50014,0.0,0.0,38195.999969
0 days 00:00:00.514000,-1.299789,-3.50007,0.0,0.0,38195.999969
0 days 00:00:00.516000,-1.299719,-3.50007,0.0,0.0,38195.999969
0 days 00:00:00.518000,-1.299769,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.520000,-1.299849,-3.49998,0.0,0.0,38195.999969
0 days 00:00:00.522000,-1.2998889999999999,-3.49992,0.0,0.0,38195.999969
0 days 00:00:00.524000,-1.299899,-3.49994,0.0,0.0,38195.999969
0 days 00:00:00.526000,-1.299739,-3.49989,0.0,0.0,38195.999969
0 days 00:00:00.528000,-1.2999290000000001,-3.4999000000000002,0.0,0.0,38195.999969
0 days 00:00:00.530000,-1.299969,-3.49994,0.0,0.0,38195.999969
0 days 00:00:00.532000,-1.300099,-3.49995,0.0,0.0,38195.999969
0 days 00:00:00.534000,-1.300069,-3.49995,0.0,0.0,38195.999969
0 days 00:00:00.536000,-1.299939,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.538000,-1.300039,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.540000,-1.300069,-3.50001,0.0,0.0,38195.999969
0 days 00:00:00.542000,-1.3000289999999999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.544000,-1.2999589999999999,-3.50003,0.0,0.0,38195.999969
0 days 00:00:00.546000,-1.2999589999999999,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.548000,-1.300049,-3.49991,0.0,0.0,38195.999969
0 days 00:00:00.550000,-1.300059,-3.49991,0.0,0.0,38195.999969
0 days 00:00:00.552000,-1.299919,-3.49994,0.0,0.0,38195.999969
0 days 00:00:00.554000,-1.299839,-3.49992,0.0,0.0,38195.999969
0 days 00:00:00.556000,-1.299789,-3.49994,0.0,0.0,38195.999969
0 days 00:00:00.558000,-1.299899,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.560000,-1.299989,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.562000,-1.2998889999999999,-3.50002,0.0,0.0,38195.999969
0 days 00:00:00.564000,-1.2998889999999999,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.566000,-1.299939,-3.50005,0.0,0.0,38195.999969
0 days 00:00:00.568000,-1.300049,-3.5000400000000003,0.0,0.0,38195.999969
0 days 00:00:00.570000,-1.300179,-3.49999,0.0,0.0,38195.999969
0 days 00:00:00.572000,-1.300159,-3.49996,0.0,0.0,38195.999969
0 days 00:00:00.574000,-1.300169,-3.5,0.0,0.0,38195.999969
