timestamp_utc,x_pos_mm,y_pos_mm,x_vel_mm_per_s,y_vel_mm_per_s,s_vel_deg_per_s
0 days 00:00:00.214000,-165.441085,208.003969,0.0,0.0,2471.999998
0 days 00:00:00.216000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.218000,-165.441075,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.220000,-165.441085,208.003979,0.0,0.0,2471.999998
0 days 00:00:00.222000,-165.441075,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.224000,-165.441105,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.226000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.228000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.230000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.232000,-165.441085,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.234000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.236000,-165.441075,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.238000,-165.441075,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.240000,-165.441035,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.242000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.244000,-165.441075,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.246000,-165.441085,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.248000,-165.441095,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.250000,-165.441085,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.252000,-165.441075,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.254000,-165.441085,208.004039,0.0,0.0,2471.999998
0 days 00:00:00.256000,-165.441075,208.004039,0.0,0.0,2471.999998
0 days 00:00:00.258000,-165.441075,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.260000,-165.441065,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.262000,-165.441075,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.264000,-165.441095,208.004029,0.0,0.0,2471.999998
0 days 00:00:00.266000,-165.441105,208.004019,0.0,0.0,2471.999998
0 days 00:00:00.268000,-165.441115,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.270000,-165.441115,208.004009,0.0,0.0,2471.999998
0 days 00:00:00.272000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.274000,-165.441105,208.003999,0.0,0.0,2471.999998
0 days 00:00:00.276000,-165.441105,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.278000,-165.441095,208.003989,0.0,0.0,2471.999998
0 days 00:00:00.280000,-165.441095,208.003989,0.0,0.0,2471.999998
